Team 1,Team 2,Score,Map,T1 Atk,T1 Def,T2 Atk,T2 Def,Event,Match,Date,Pick,T1 Ban 1,T1 Ban 2,T1 Ban 3,T1 Ban 4,T2 Ban 1,T2 Ban 2,T2 Ban 3,T2 Ban 4,Veto Start,VOD,T1 RT Start,T1 OT Start,T1 ATK RT,T1 DEF RT,T1 ATK OT,T1 DEF OT,T2 ATK RT,T2 DEF RT,T2 ATK OT,T2 DEF OT
Team BDS,Wolves Esports,8 : 7,Skyscraper,Montagne,Azami,Deimos,Tubarão,EU 2024 - Stage 2,Upper Bracket Semifinals,2024-10-07 19:00:00,T1,Lair,Nighthaven Labs,Bank,,Border,Kafe Dostoyevsky,Clubhouse,,T1,,atk,def,1,5,0,2,1,5,0,1
Team BDS,Wolves Esports,5 : 7,Consulate,Montagne,Fenrir,Deimos,Valkyrie,EU 2024 - Stage 2,Upper Bracket Semifinals,2024-10-07 19:00:00,T2,,,,,,,,,T1,,def,,2,3,,,3,4,,
Team BDS,Wolves Esports,8 : 7,Chalet,Blitz,Azami,Deimos,Valkyrie,EU 2024 - Stage 2,Upper Bracket Semifinals,2024-10-07 19:00:00,Dec.,,,,,,,,,T1,,def,atk,2,4,1,1,2,4,0,1
Fnatic,Team BDS,5 : 7,Bank,Deimos,Mira,Montagne,Echo,EU 2024 - Stage 2,,2024-09-30 18:20:00,Dec.,Kafe Dostoyevsky,Consulate,Nighthaven Labs,Chalet,Lair,Skyscraper,Clubhouse,Border,T1,,def,,1,4,,,2,5,,
Team BDS,Virtus.pro,7 : 3,Chalet,Grim,Valkyrie,Montagne,Azami,EU 2024 - Stage 2,,2024-09-23 17:10:00,Dec.,Bank,Kafe Dostoyevsky,Consulate,Lair,Skyscraper,Clubhouse,Nighthaven Labs,Border,T1,,def,,3,4,,,2,1,,
Team BDS,Team Secret,4 : 7,Border,Ying,Valkyrie,Buck,Warden,EU 2024 - Stage 2,,2024-09-18 16:00:00,Dec.,Clubhouse,Skyscraper,Nighthaven Labs,Lair,Bank,Chalet,Kafe Dostoyevsky,Consulate,T1,https://www.youtube.com/watch?v=Cr6seQ05oIc,atk,,3,1,,,4,3,,
Team BDS,ENCE,7 : 4,Chalet,Blitz,Valkyrie,Ying,Fenrir,EU 2024 - Stage 2,,2024-09-17 18:20:00,Dec.,Border,Kafe Dostoyevsky,Clubhouse,Lair,Bank,Nighthaven Labs,Skyscraper,Consulate,T2,https://www.youtube.com/watch?v=w_QgVmJn2oc,def,,3,4,,,2,2,,
Wolves Esports,Team BDS,5 : 7,Bank,Nøkk,Kaid,Buck,Valkyrie,EU 2024 - Stage 2,,2024-09-16 18:20:00,Dec.,Kafe Dostoyevsky,Border,Skyscraper,Chalet,Clubhouse,Nighthaven Labs,Lair,Consulate,T1,https://www.youtube.com/watch?v=QDY9tqcd6dE,atk,,3,2,,,4,3,,
Into The Breach,Team BDS,5 : 7,Kafe Dostoyevsky,Dokkaebi,Azami,Ying,Valkyrie,EU 2024 - Stage 2,,2024-09-09 16:00:00,Dec.,Consulate,Clubhouse,Bank,Skyscraper,Lair,Nighthaven Labs,Border,Chalet,T1,https://www.youtube.com/watch?v=kdCauVIKTdE,def,,3,2,,,4,3,,
G2 Esports,Team BDS,4 : 7,Bank,Montagne,Goyo,Grim,Azami,EU 2024 - Stage 2,,2024-09-03 18:20:00,Dec.,Clubhouse,Skyscraper,Border,Consulate,Kafe Dostoyevsky,Nighthaven Labs,Chalet,Lair,T2,https://www.youtube.com/watch?v=8XeBW8eSptQ,def,,1,3,,,3,4,,
